Contract_number	Client_class
130619-144744	2.0
130704-094106	1.0
130601-113652	1.0
130607-170130	2.0
130708-093517	2.0
130603-172936	1.0
130614-123445	1.0
130719-171927	1.0
130717-144033	1.0
130708-163937	4.0
130718-100725	2.0
130619-104416	1.0
130611-091238	1.0
130628-130153	1.0
130719-121733	1.0
130725-141115	2.0
130627-152853	4.0
130624-091623	2.0
130730-142139	1.0
130704-163514	2.0
130731-094828	4.0
130730-105120	4.0
130627-105051	2.0
130602-151248	1.0
130629-104539	3.0
130721-113317	2.0
130625-105530	1.0
130702-164425	2.0
130606-133206	2.0
130625-184450	2.0
130613-164811	2.0
130702-104149	1.0
130605-124115	2.0
130714-090536	1.0
130716-091638	2.0
130726-113110	2.0
130619-135139	1.0
130625-164009	1.0
130618-161239	2.0
130712-160255	1.0
130701-112614	4.0
130712-132204	2.0
130607-110527	1.0
130622-182803	2.0
130612-141956	1.0
130725-135519	3.0
130610-092145	1.0
130606-114456	3.0
130603-122948	1.0
130608-105853	2.0
130622-101819	3.0
130702-144102	1.0
130603-101144	1.0
130621-183952	1.0
130704-100900	2.0
130615-135927	3.0
130728-120614	3.0
130626-103409	3.0
130711-094809	3.0
130726-095410	2.0
130608-092945	2.0
130712-095451	2.0
130616-122124	3.0
130610-102037	4.0
130625-102657	2.0
130611-165148	4.0
130602-101001	1.0
130614-180433	1.0
130627-100211	1.0
130712-121011	1.0
130728-185521	1.0
130616-114412	2.0
130620-185415	1.0
130723-170100	1.0
130601-111627	1.0
130704-111222	1.0
130627-154224	3.0
130605-162551	2.0
130722-110408	1.0
130601-103807	1.0
130628-102255	1.0
130712-092401	1.0
130710-131518	2.0
130722-105251	2.0
130717-140408	3.0
130701-090105	2.0
130724-090430	2.0
130611-172911	1.0
130601-103851	2.0
130704-100607	2.0
130718-111259	2.0
130610-133157	1.0
130605-112909	3.0
130706-162203	4.0
130604-125050	4.0
130626-104811	1.0
130719-113836	1.0
130709-114332	2.0
130715-105315	3.0
130602-101743	1.0
130724-110831	2.0
130701-094729	1.0
130708-175424	1.0
130616-175040	1.0
130623-170639	1.0
130614-103147	3.0
130606-143331	2.0
130716-113851	2.0
130614-125150	2.0
130610-171142	2.0
130620-113437	2.0
130707-181008	2.0
130707-103329	1.0
130727-102259	1.0
130728-093810	1.0
130609-111817	1.0
130622-103229	1.0
130712-164729	2.0
130601-133636	1.0
130625-110447	1.0
130710-091838	3.0
130731-100636	3.0
130713-095704	2.0
130611-103519	2.0
130605-101912	1.0
130715-145603	1.0
130613-104503	2.0
130629-092845	2.0
130720-110014	4.0
130601-194204	1.0
130611-133218	2.0
130627-105015	2.0
130601-081526	2.0
130706-171945	2.0
130724-133757	2.0
130708-133223	2.0
130725-121818	3.0
130616-104023	1.0
130629-115146	1.0
130710-161127	2.0
130622-083145	2.0
130713-101322	2.0
130604-154043	1.0
130629-103316	2.0
130706-103833	3.0
130726-103617	3.0
130606-150805	1.0
130605-094725	1.0
130628-101347	1.0
130713-173657	1.0
130731-092608	1.0
130601-101114	2.0
130623-151255	2.0
130724-170632	2.0
130616-125128	1.0
130618-163504	2.0
130721-162957	1.0
130724-171523	2.0
130725-172804	2.0
130612-173211	1.0
130731-174545	1.0
130618-115052	2.0
130605-172857	3.0
130618-102337	2.0
130729-114850	2.0
130627-155323	2.0
130621-090405	2.0
130717-115714	2.0
130723-103653	2.0
130623-133336	3.0
130607-101708	3.0
130622-093050	3.0
130701-195050	1.0
130726-114227	2.0
130719-113302	1.0
130608-134308	2.0
130616-135414	1.0
130718-113458	4.0
130718-133846	2.0
130719-160210	3.0
130730-142006	2.0
130712-095323	1.0
130726-142548	1.0
130622-125937	1.0
130704-170614	1.0
130728-115059	1.0
130702-115743	3.0
130706-100528	2.0
130611-103958	1.0
130702-104545	1.0
130610-115401	4.0
130607-115335	2.0
130708-180650	2.0
130604-142405	2.0
130615-132511	1.0
130721-092049	1.0
130613-154750	4.0
130608-100910	1.0
130621-105310	1.0
130621-143456	4.0
130606-103553	1.0
130628-092942	3.0
130608-103536	1.0
130603-135903	1.0
130716-111704	1.0
130730-102235	1.0
130612-162908	1.0
130713-100248	1.0
130717-112533	1.0
130614-151522	3.0
130728-141905	2.0
130714-094913	2.0
130601-153115	3.0
130624-130300	2.0
130709-103733	1.0
130730-102255	1.0
130606-115701	4.0
130624-112610	4.0
130716-170913	2.0
130612-121627	3.0
130601-142110	1.0
130614-132241	2.0
130611-134611	1.0
130607-163248	3.0
130701-173501	2.0
130705-185254	3.0
130613-170058	2.0
130623-132228	2.0
130705-175228	2.0
130703-122027	2.0
130731-150515	1.0
130618-193739	1.0
130719-153238	1.0
130728-105327	1.0
130716-161129	3.0
130601-083347	3.0
130626-171424	3.0
130713-181033	4.0
130611-100454	2.0
130705-173002	2.0
130608-152121	1.0
130613-122648	1.0
130627-121528	2.0
130613-120332	1.0
130625-122353	2.0
130719-164828	1.0
130604-084842	1.0
130727-140318	4.0
130626-160334	2.0
130730-171532	2.0
130708-104144	3.0
130608-101659	4.0
130621-173534	2.0
130629-182129	4.0
130711-165920	1.0
130604-141902	4.0
130625-155918	4.0
130603-102721	2.0
130615-090600	2.0
130710-103842	2.0
130625-104401	1.0
130611-091654	1.0
130702-093057	1.0
130712-090742	1.0
130624-145318	2.0
130721-152555	1.0
130601-111947	1.0
130613-103312	2.0
130625-122241	2.0
130712-124533	2.0
130719-165256	3.0
130731-151405	1.0
130620-100043	3.0
130724-174336	1.0
130617-170551	1.0
130701-130533	2.0
130708-134056	1.0
130620-101906	2.0
130714-091310	3.0
130712-112843	1.0
130620-162111	1.0
130701-164536	1.0
130612-190226	1.0
130701-151442	1.0
130710-133944	1.0
130621-133153	2.0
130626-162454	1.0
130729-165119	1.0
130717-181645	2.0
130613-174346	2.0
130709-131640	2.0
130705-102842	3.0
130619-131653	2.0
130729-170022	2.0
130715-164028	4.0
130614-110546	1.0
130628-105149	1.0
130723-110827	1.0
130718-094419	4.0
130614-160052	1.0
130620-181902	3.0
130715-144320	3.0
130604-160807	2.0
130708-140719	2.0
130701-111803	2.0
130629-105823	3.0
130609-195231	1.0
130625-112758	2.0
130629-164446	2.0
130604-140659	3.0
130725-170157	3.0
130607-155016	2.0
130621-154439	2.0
130607-174836	3.0
130706-192033	3.0
130626-101010	2.0
130701-100230	2.0
130728-181945	2.0
130616-183807	4.0
130615-175739	1.0
130629-155504	1.0
130612-111326	1.0
130711-091531	1.0
130729-125509	1.0
130718-094159	1.0
130725-140104	4.0
130617-181047	1.0
130628-160547	1.0
130713-183339	1.0
130720-134818	2.0
130726-181257	1.0
130609-154713	1.0
130730-162426	2.0
130613-130747	3.0
130614-102220	2.0
130616-115627	1.0
130718-100757	1.0
130624-193001	1.0
130724-174708	2.0
130701-175051	1.0
130621-163738	2.0
130713-160625	2.0
130716-163543	1.0
130723-165933	1.0
130606-171116	2.0
130729-163125	2.0
130603-101625	4.0
130609-141610	2.0
130623-105609	2.0
130622-115905	1.0
130706-110435	1.0
130704-183317	2.0
130720-095305	3.0
130609-094448	1.0
130706-172748	1.0
130630-172050	4.0
130607-170625	3.0
130622-141951	2.0
130618-112326	1.0
130716-182943	1.0
130724-174808	1.0
130604-100414	3.0
130705-181020	3.0
130618-122137	1.0
130713-133312	2.0
130609-102026	4.0
130610-103011	2.0
130716-185043	2.0
130607-170700	1.0
130617-101923	1.0
130627-174209	1.0
130719-103934	2.0
130619-140809	3.0
130730-112025	2.0
130720-095154	3.0
130614-113847	1.0
130730-101401	1.0
130611-154730	2.0
130723-162945	2.0
130628-171204	4.0
130723-173503	2.0
130702-093032	1.0
130715-192345	2.0
130616-102406	3.0
130621-122658	1.0
130629-100056	2.0
130618-132938	2.0
130712-132737	2.0
130613-101927	2.0
130723-094621	2.0
130702-154722	2.0
130604-125557	1.0
130615-115510	2.0
130701-113010	1.0
130719-105950	2.0
130730-094322	1.0
130727-100812	2.0
130717-094739	3.0
130625-095301	4.0
130722-103953	4.0
130605-103505	2.0
130703-100002	2.0
130621-095818	2.0
130722-141842	2.0
130604-103045	3.0
130702-171146	4.0
130601-115538	1.0
130624-132631	1.0
130729-104957	1.0
130715-140058	2.0
130614-161033	4.0
130707-091640	3.0
130601-121324	2.0
130604-154909	1.0
130703-172620	1.0
130727-172719	2.0
130615-102637	1.0
130727-120031	1.0
130611-092016	4.0
130616-140834	2.0
130729-094153	4.0
130622-142142	3.0
130619-132907	1.0
130609-153908	1.0
130712-114133	1.0
130726-140726	3.0
130626-160403	3.0
130624-102719	3.0
130622-160327	1.0
130610-093702	1.0
130614-171713	1.0
130625-182455	1.0
130711-104846	1.0
130724-091153	1.0
130731-135042	3.0
130620-135253	3.0
130719-122205	3.0
130625-134534	2.0
130618-124653	3.0
130730-094539	3.0
130626-090753	1.0
130728-101114	1.0
130610-173227	4.0
130731-142138	2.0
130604-150951	1.0
130625-155608	1.0
130712-122527	2.0
130731-123150	2.0
130719-154901	2.0
130608-133914	2.0
130611-100436	1.0
130708-112053	1.0
130611-120252	2.0
130713-141024	3.0
130625-112958	3.0
130611-135713	1.0
130624-165249	2.0
130719-163936	2.0
130708-154911	1.0
130602-164552	1.0
130618-091521	1.0
130707-150208	2.0
130601-100634	3.0
130613-092045	3.0
130719-113025	2.0
130705-110637	2.0
130614-093125	2.0
130612-134721	2.0
130627-102806	3.0
130718-124704	4.0
130729-125806	1.0
130717-153605	4.0
130608-112143	3.0
130701-183248	3.0
130614-174400	2.0
130702-135350	2.0
130620-113017	1.0
130709-100619	1.0
130627-120221	2.0
130708-115230	2.0
130628-131822	4.0
130723-122722	1.0
130619-111022	3.0
130726-110223	3.0
130629-115555	2.0
130629-150335	1.0
130713-100319	2.0
130625-095634	1.0
130726-105940	1.0
130714-102610	2.0
130629-125426	1.0
130729-164805	1.0
130614-111547	2.0
130723-150852	4.0
130615-134319	2.0
130623-110439	2.0
130718-141817	1.0
130629-103346	1.0
130710-120535	2.0
130726-165946	2.0
130605-170454	1.0
130610-155510	1.0
130625-163653	1.0
130709-180315	1.0
130609-170557	1.0
130713-105334	1.0
130622-124528	2.0
130603-090612	3.0
130622-153534	2.0
130711-141302	1.0
130609-185543	1.0
130613-165400	1.0
130621-094853	1.0
130701-163712	1.0
130711-142448	2.0
130728-121122	1.0
130731-155020	2.0
130617-143028	2.0
130702-144619	2.0
130725-090924	1.0
130727-145551	2.0
130612-142739	2.0
130717-161057	3.0
130728-112110	2.0
130619-092246	3.0
130705-093749	3.0
130601-172638	2.0
130609-182021	1.0
130625-143642	1.0
130716-090403	2.0
130718-174855	2.0
130614-111849	2.0
130603-105615	4.0
130706-095611	4.0
130720-095653	4.0
130730-155738	3.0
130624-121234	2.0
130625-102521	2.0
130725-115322	2.0
130622-103746	2.0
130716-103954	2.0
130625-091638	3.0
130614-115707	1.0
130626-091338	1.0
130711-090434	1.0
130725-090736	2.0
130620-140759	2.0
130711-102656	2.0
130726-153959	2.0
130605-172020	2.0
130615-184851	2.0
130622-100210	2.0
130619-142148	1.0
130608-081923	1.0
130612-100043	2.0
130728-131833	1.0
130723-181503	3.0
130610-193315	1.0
130620-101710	3.0
130722-101415	2.0
130629-151021	2.0
130712-094223	2.0
130601-121357	2.0
130723-102944	1.0
130727-095827	3.0
130707-144727	2.0
130602-165033	3.0
130628-111705	3.0
130708-092241	3.0
130622-081420	2.0
130712-153237	4.0
130702-094033	3.0
130702-112046	4.0
130605-134418	2.0
130728-124446	3.0
130606-092022	3.0
130729-101418	1.0
130704-120134	4.0
130620-182025	1.0
130719-183311	1.0
130606-131721	3.0
130728-123720	3.0
130728-125948	1.0
130611-095039	2.0
130621-110940	2.0
130709-105136	2.0
130722-140342	1.0
130723-103840	2.0
130604-164051	1.0
130609-103401	3.0
130708-162709	3.0
130728-155921	3.0
130617-192414	1.0
130622-105302	2.0
130730-100402	2.0
130712-100930	2.0
130726-153555	2.0
130708-140736	3.0
130625-100657	2.0
130609-150431	1.0
130730-175126	1.0
130630-161611	2.0
130715-094251	2.0
130723-102727	2.0
130706-140245	3.0
130607-111751	1.0
130708-084442	1.0
130616-113809	1.0
130625-165740	2.0
130708-125154	2.0
130613-123525	2.0
130609-142701	2.0
130730-120746	1.0
130608-144039	1.0
130622-100416	2.0
130627-165659	3.0
130609-140543	2.0
130608-114204	3.0
130610-085739	1.0
130610-163629	1.0
130717-112327	1.0
130714-104724	1.0
130601-142435	1.0
130614-173537	1.0
130626-113332	1.0
130726-170723	1.0
130707-142559	2.0
130712-131402	3.0
130616-164410	1.0
130628-120406	1.0
130714-123638	1.0
130726-123400	3.0
130602-125302	2.0
130629-102817	2.0
130724-122159	2.0
130607-110349	2.0
130705-180831	3.0
130625-113340	3.0
130701-121748	3.0
130714-114743	3.0
130722-154916	3.0
130625-102758	2.0
130724-171557	2.0
130623-105006	3.0
130625-111327	1.0
130714-101717	1.0
130604-123558	1.0
130621-105213	1.0
130621-132109	1.0
130627-104008	1.0
130719-125554	1.0
130731-174504	1.0
130704-164637	3.0
130726-170253	3.0
130604-093734	1.0
130728-093653	2.0
130608-101146	2.0
130607-161538	3.0
130629-164119	2.0
130705-131019	3.0
130726-170229	1.0
130615-103116	1.0
130614-135355	4.0
130603-132232	2.0
130614-102448	2.0
130626-162204	4.0
130622-103453	4.0
130626-114850	1.0
130726-122949	3.0
130625-101238	2.0
130713-160041	1.0
130627-160404	1.0
130705-153247	1.0
130718-141409	1.0
130724-100009	1.0
130621-141452	1.0
130724-162444	3.0
130620-121421	3.0
130611-101126	1.0
130627-110725	1.0
130709-101343	1.0
130613-125832	1.0
130702-114539	1.0
130726-113302	1.0
130706-124605	3.0
130626-112305	1.0
130728-102103	1.0
130615-122747	1.0
130715-142636	1.0
130728-140011	1.0
130615-140036	2.0
130714-120842	2.0
130608-095201	2.0
130604-143235	1.0
130724-093128	1.0
130627-143500	3.0
130610-101846	3.0
130725-102958	3.0
130601-103456	1.0
130629-133641	2.0
130727-165546	2.0
130729-101309	2.0
130610-101241	1.0
130719-133658	2.0
130601-100721	2.0
130702-101000	1.0
130727-091246	1.0
130721-122842	2.0
130626-110912	3.0
130605-111402	2.0
130613-142212	1.0
130619-131403	2.0
130701-165701	1.0
130703-122812	1.0
130706-151239	2.0
130626-091645	2.0
130712-113319	2.0
130710-094020	1.0
130627-173648	1.0
130718-114210	1.0
130619-120752	4.0
130712-104636	3.0
130622-122109	2.0
130711-104131	3.0
130617-155115	2.0
130602-105132	1.0
130611-113043	1.0
130712-095844	2.0
130627-155356	2.0
130717-095119	1.0
130611-100625	2.0
130709-111444	2.0
130620-150951	4.0
130706-140239	4.0
130704-144113	1.0
130610-111541	2.0
130611-093803	4.0
130611-132621	1.0
130624-132038	1.0
130726-161352	1.0
130704-101723	2.0
130617-101549	1.0
130721-100216	2.0
130613-191913	3.0
130703-174643	3.0
130723-122317	3.0
130627-124313	2.0
130705-091540	1.0
130701-094659	2.0
130629-172330	4.0
130714-143243	2.0
130723-161655	3.0
130622-132730	1.0
130718-103751	1.0
130626-092643	2.0
130720-092110	2.0
130729-162310	2.0
130604-155618	1.0
130716-103110	2.0
130730-095550	2.0
130611-150845	2.0
130624-151922	1.0
130723-102248	2.0
130617-111804	1.0
130713-102305	2.0
130712-154245	1.0
130729-113956	1.0
130724-153210	3.0
130620-115646	1.0
130724-161733	1.0
130615-130438	3.0
130628-110639	1.0
130624-152231	2.0
130722-140018	3.0
130722-131015	2.0
130630-123034	3.0
130718-091900	3.0
130618-154344	3.0
130718-123312	3.0
130607-112647	3.0
130602-112025	2.0
130630-102020	2.0
130710-162334	2.0
130626-135256	3.0
130725-143956	2.0
130615-091952	2.0
130702-122718	1.0
130726-160905	2.0
130702-093030	4.0
130619-111714	2.0
130628-103338	2.0
130720-151142	1.0
130726-161043	1.0
130707-174309	1.0
130730-184433	2.0
130602-111122	3.0
130614-115552	1.0
130730-150857	2.0
130626-175737	3.0
130615-131618	1.0
130628-113515	4.0
130714-105744	4.0
130612-120628	3.0
130603-121321	1.0
130628-171043	1.0
130731-170957	1.0
130612-173043	2.0
130602-144701	2.0
130703-150247	2.0
130711-125633	2.0
130725-111340	2.0
130715-103325	2.0
130616-115953	3.0
130604-105015	1.0
130706-104731	1.0
130627-095554	2.0
130606-101713	1.0
130704-171027	1.0
130615-180536	2.0
130721-141639	2.0
130619-160656	1.0
130703-145018	2.0
130727-104354	1.0
130601-101907	2.0
130715-124244	2.0
130625-154629	1.0
130711-172334	1.0
130714-122020	1.0
130724-153137	1.0
130620-142918	2.0
130706-125249	1.0
130714-123208	1.0
130609-092135	1.0
130623-172156	1.0
130727-095615	2.0
130601-190504	3.0
130610-093812	2.0
130620-111224	1.0
130701-091253	1.0
130709-124140	1.0
130608-164959	1.0
130630-164516	4.0
130617-105627	1.0
130711-155251	2.0
130601-113302	2.0
130717-111459	1.0
130731-175414	1.0
130606-135935	2.0
130707-150835	2.0
130614-180121	2.0
130720-114645	2.0
130729-141503	3.0
130627-095547	1.0
130616-111500	4.0
130617-102530	4.0
130609-103136	1.0
130713-134650	1.0
130616-101912	1.0
130707-110643	2.0
130622-103040	1.0
130619-154358	1.0
130701-133806	1.0
130715-132114	1.0
130606-184716	3.0
130721-094619	2.0
130709-155315	2.0
130624-184930	1.0
130602-112343	2.0
130602-113316	2.0
130625-164404	2.0
130725-173831	2.0
130715-164151	2.0
130619-164353	1.0
130708-164324	1.0
130601-103601	4.0
130611-151339	4.0
130629-113451	1.0
130619-124523	1.0
130717-172533	1.0
130727-145037	3.0
130630-095855	1.0
130720-155228	1.0
130622-142220	1.0
130715-092749	1.0
130725-181112	1.0
130618-161823	2.0
130616-170001	1.0
130624-194112	2.0
130722-113801	1.0
130604-103527	2.0
130716-174718	3.0
130627-160322	1.0
130712-173437	1.0
130728-181059	1.0
130710-163335	1.0
130723-114456	1.0
130614-105144	2.0
130712-101203	2.0
130725-114602	2.0
130709-103622	3.0
130623-092400	1.0
130706-110616	1.0
130701-115344	3.0
130709-133515	3.0
130713-145500	2.0
130612-111358	2.0
130618-104058	1.0
130703-183104	1.0
130708-164450	2.0
130626-145447	2.0
130702-112753	1.0
130711-114853	2.0
130717-180328	3.0
130603-134325	2.0
130712-113752	2.0
130625-111337	3.0
130603-091828	3.0
130731-094307	2.0
130606-165553	1.0
130617-172020	1.0
130717-170911	2.0
130615-152709	1.0
130625-091912	1.0
130630-110844	1.0
130711-114201	1.0
130718-175526	1.0
130722-160409	1.0
130726-092251	2.0
130617-162341	3.0
130603-193321	3.0
130607-172035	3.0
130622-100455	4.0
130604-101838	2.0
130626-104748	2.0
130724-094227	2.0
130718-172125	2.0
130619-105738	4.0
130618-112702	4.0
130627-133818	1.0
130716-155644	2.0
130730-103516	2.0
130730-101247	2.0
130612-174518	1.0
130712-173350	1.0
130625-104111	2.0
130717-092445	2.0
130625-165542	3.0
130614-115426	2.0
130625-113746	2.0
130628-105146	2.0
130727-092457	1.0
130708-173628	2.0
130723-154604	2.0
130602-162255	2.0
130615-162551	2.0
130612-175105	1.0
130621-122245	2.0
130711-155359	1.0
130719-114241	1.0
130607-143449	2.0
130702-163651	2.0
130716-144949	2.0
130615-150545	3.0
130729-175803	3.0
130611-133421	2.0
130725-110901	3.0
130627-120521	2.0
130726-143306	2.0
130724-132232	2.0
130726-125726	2.0
130617-155336	3.0
130711-150827	3.0
130609-155410	1.0
130727-091954	2.0
130618-102548	2.0
130613-154930	2.0
130624-112051	2.0
130720-145314	2.0
130614-171303	3.0
130610-184414	1.0
130621-184025	3.0
130709-132155	1.0
130722-172206	3.0
130604-141815	3.0
130716-093439	2.0
130618-183509	4.0
130706-114409	3.0
130629-124007	1.0
130728-110831	2.0
130603-104213	1.0
130628-104754	1.0
130729-100917	1.0
130602-122732	1.0
130616-132204	1.0
130630-102302	1.0
130714-115753	1.0
130729-114005	1.0
130618-140113	1.0
130710-124237	1.0
130611-121931	1.0
130709-160417	1.0
130727-161354	2.0
130603-122644	1.0
130607-092336	1.0
130727-155447	3.0
130614-101302	4.0
130625-094834	3.0
130711-170059	2.0
130720-104607	3.0
130609-151920	2.0
130722-154416	1.0
130630-165132	3.0
130730-165003	2.0
130610-114049	2.0
130723-123715	2.0
130623-175505	3.0
130707-122106	3.0
130620-102344	2.0
130619-163845	3.0
130601-144140	2.0
130613-155114	2.0
130705-105214	2.0
130630-100125	1.0
130619-100321	2.0
130605-114609	1.0
130626-121307	4.0
130729-112302	4.0
130612-181647	2.0
130622-100954	2.0
130714-134451	3.0
130627-174610	1.0
130717-092636	2.0
130725-173104	2.0
130614-102741	2.0
130606-171135	1.0
130620-163527	2.0
130630-170519	1.0
130710-121904	1.0
130718-130415	1.0
130605-160907	1.0
130616-081606	1.0
130629-082231	1.0
130719-155441	1.0
130606-082024	2.0
130714-120817	2.0
130721-130654	2.0
130606-151005	1.0
130603-171137	2.0
130602-091521	1.0
130627-082912	1.0
130723-092900	1.0
130623-143515	1.0
130719-103753	1.0
130607-100558	2.0
130709-102132	2.0
130627-082618	1.0
130723-091904	1.0
130619-153045	3.0
130703-135812	4.0
130726-174558	4.0
130708-141159	3.0
130613-132351	3.0
130605-140431	3.0
130619-102641	3.0
130724-131644	4.0
130613-153731	4.0
130719-132854	4.0
130601-165027	3.0
130706-150938	2.0
130724-103006	2.0
130606-094830	4.0
130709-115510	3.0
130610-172156	1.0
130628-140124	1.0
130711-165248	1.0
130726-171658	1.0
130602-092703	1.0
130627-141009	2.0
130605-104523	3.0
130708-154313	2.0
130729-120345	3.0
130606-111727	3.0
130717-105838	2.0
130613-093516	4.0
130708-105150	1.0
130619-121815	1.0
130628-115420	1.0
130703-120828	1.0
130718-120524	1.0
130605-104606	1.0
130708-133417	3.0
130730-161206	1.0
130622-130719	3.0
130618-175605	1.0
130630-170536	3.0
130625-093308	2.0
130719-094708	2.0
130618-183646	3.0
130704-092737	3.0
130606-165830	3.0
130604-114404	2.0
130708-121755	1.0
130710-183909	3.0
130604-125850	2.0
130611-141640	1.0
130630-103312	2.0
130710-132720	2.0
130725-090607	1.0
130604-185544	1.0
130701-184557	2.0
130728-180724	1.0
130621-171400	3.0
130623-095225	2.0
130719-100808	3.0
130618-142835	4.0
130603-104147	2.0
130711-091437	2.0
130627-125927	1.0
130730-110048	1.0
130707-112917	4.0
130716-153422	2.0
130603-144213	3.0
130706-123533	3.0
130607-114121	3.0
130715-103748	2.0
130731-101906	3.0
130612-124625	2.0
130615-113427	3.0
130704-160806	3.0
130629-170415	2.0
130724-152921	2.0
130618-101312	1.0
130701-094914	2.0
130611-120951	1.0
130617-163955	1.0
130628-165804	3.0
130730-165710	1.0
130616-101023	2.0
130621-095256	4.0
130730-144329	3.0
130708-102725	3.0
130606-144242	3.0
130603-092215	3.0
130704-101644	3.0
130603-134937	1.0
130725-135314	4.0
130712-183329	1.0
130618-173100	1.0
130712-150945	1.0
130630-134146	1.0
130619-111027	1.0
130626-100159	1.0
130720-102728	1.0
130726-095104	1.0
130617-143352	3.0
130717-144002	2.0
130723-083942	2.0
130707-100401	3.0
130625-111524	2.0
130726-162807	4.0
130707-150318	2.0
130601-115716	3.0
130701-185224	2.0
130726-111929	3.0
130702-104615	2.0
130702-173319	3.0
130622-105918	4.0
130727-121336	1.0
130614-124308	2.0
130611-105236	1.0
130709-113010	1.0
130624-124232	2.0
130601-131913	1.0
130629-163343	1.0
130718-105931	2.0
130702-140050	3.0
130714-100914	1.0
130619-155202	1.0
130716-163746	1.0
130705-134322	1.0
130602-162300	1.0
130726-114153	1.0
130628-102051	2.0
130606-142724	2.0
130627-103930	3.0
130723-154858	2.0
130626-171607	2.0
130621-101853	1.0
130602-132732	1.0
130729-141046	2.0
130602-143109	3.0
130613-101544	3.0
130703-094045	2.0
130716-135735	4.0
130627-163504	1.0
130605-121637	1.0
130626-185201	1.0
130614-145436	1.0
130712-134532	1.0
130727-155042	2.0
130617-112140	2.0
130716-114217	1.0
130717-114426	1.0
130724-172336	1.0
130616-153045	2.0
130704-134532	2.0
130616-125039	2.0
130721-164444	1.0
130627-171336	2.0
130628-161706	1.0
130614-120722	1.0
130706-113102	1.0
130617-094614	2.0
130607-181907	1.0
130716-180018	1.0
130617-100938	3.0
130605-174228	1.0
130708-155628	2.0
130727-111022	1.0
130625-164451	2.0
130615-101830	2.0
130701-162524	1.0
130729-181405	1.0
130725-181542	4.0
130710-094423	1.0
130728-111153	3.0
130713-183618	2.0
130612-104020	1.0
130627-093601	1.0
130713-145827	1.0
130728-170433	1.0
130615-112603	2.0
130726-145831	2.0
130630-130722	1.0
130712-175241	2.0
130608-163820	1.0
130624-140613	1.0
130710-171817	1.0
130728-122142	1.0
130615-100252	2.0
130713-105554	2.0
130612-094113	4.0
130611-151412	1.0
130628-155545	1.0
130710-093328	1.0
130725-100025	1.0
130613-133644	4.0
130619-141001	2.0
130726-091434	2.0
130617-090645	2.0
130718-090414	2.0
130601-092635	2.0
130610-083358	2.0
130711-093754	2.0
130627-122139	2.0
130630-104836	2.0
130729-092650	2.0
130710-160859	2.0
130611-172939	3.0
130624-131311	2.0
130604-151541	1.0
130602-171235	2.0
130618-101743	1.0
130625-191522	4.0
130713-145931	2.0
130724-115924	4.0
130621-185800	2.0
130701-172946	1.0
130717-124206	1.0
130703-091902	1.0
130616-151910	2.0
130718-160045	2.0
130717-092127	2.0
130709-122004	4.0
130618-153314	2.0
130719-094252	2.0
130704-125153	3.0
130612-114848	2.0
130624-150734	2.0
130605-151437	1.0
130616-180008	2.0
130614-165630	3.0
130701-095222	4.0
130620-094902	3.0
130720-131132	3.0
130611-100700	2.0
130627-115434	2.0
130709-103138	2.0
130730-110718	1.0
130603-104050	1.0
130616-184315	1.0
130706-093654	1.0
130713-124946	1.0
130724-100252	2.0
130622-102030	1.0
130710-100621	1.0
130722-124641	2.0
130619-161423	4.0
130707-153530	4.0
130718-102022	1.0
130724-093835	2.0
130630-133147	2.0
130610-160958	3.0
130625-114621	3.0
130719-154426	1.0
130604-094836	2.0
130627-130519	2.0
130730-092900	1.0
130610-141124	4.0
130612-162656	1.0
130713-152809	1.0
130612-120523	2.0
130701-110231	3.0
130610-091932	2.0
130702-151440	3.0
130718-155223	2.0
130613-171702	1.0
130614-090556	1.0
130623-105650	1.0
130701-120638	1.0
130621-152317	2.0
130720-084659	3.0
130616-110443	4.0
130720-135602	1.0
130610-100719	2.0
130707-102621	3.0
130721-103921	3.0
130729-093438	3.0
130619-161800	1.0
130728-161016	1.0
130615-130518	2.0
130716-090916	1.0
130726-162245	2.0
130613-183459	2.0
130629-124626	2.0
130712-160414	2.0
130728-133417	1.0
130702-135521	2.0
130716-112759	1.0
130628-102154	2.0
130713-173107	3.0
130606-081549	4.0
130601-110213	3.0
130617-181014	3.0
130607-115347	2.0
130603-160223	2.0
130608-162219	3.0
130628-094533	2.0
130712-174238	1.0
130719-172256	2.0
130602-105910	2.0
130616-115549	2.0
130617-122407	2.0
130728-161234	1.0
130701-091411	2.0
130711-141737	2.0
130622-112717	4.0
130726-131832	1.0
130701-110953	1.0
130725-165258	2.0
130729-113422	2.0
130630-122302	4.0
130718-125552	1.0
130730-164211	1.0
130703-170225	3.0
130608-093219	4.0
130604-113732	2.0
130628-111803	2.0
130722-114605	2.0
130721-121048	2.0
130616-143225	1.0
130627-182141	1.0
130707-101812	2.0
130722-182937	4.0
130718-091613	1.0
130618-171002	2.0
130720-152141	2.0
130605-102134	1.0
130617-101453	1.0
130628-122618	1.0
130718-112541	1.0
130623-165859	2.0
130625-094444	2.0
130615-160008	2.0
130630-102846	1.0
130714-100801	4.0
130605-143455	2.0
130619-132249	2.0
130620-145832	2.0
130731-085913	3.0
130607-100348	4.0
130615-122302	1.0
130703-113053	2.0
130625-105834	4.0
130718-175056	4.0
130625-163834	1.0
130726-114831	2.0
130625-130254	3.0
